,,,,,,,,,,,,,,,,,,,,
,PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
,David Duke Jr.,BKN,22,6-4,204,Providence,USA,Undrafted,Undrafted,Undrafted,21,5.0,3.2,0.8,0.4,7.7%,10.5%,15.0%,44.4%,6.6%
,David Johnson,TOR,21,6-4,203,Louisville,USA,2021,2,47,2,0.0,0.0,0.0,-75.0,0.0%,0.0%,14.3%,0.0%,0.0%
,David Nwaba,HOU,29,6-5,219,Cal Poly,USA,Undrafted,Undrafted,Undrafted,44,5.3,3.4,0.8,-7.7,6.1%,18.2%,15.4%,56.8%,8.3%
,Davion Mitchell,SAC,23,6-0,202,Baylor,USA,2021,1,9,62,10.0,2.2,3.3,-5.2,1.8%,6.3%,19.3%,47.4%,20.1%
,Davis Bertans,DAL,29,6-10,225,None,Latvia,2011,2,42,45,5.6,2.0,0.5,0.2,1.2%,12.2%,17.1%,50.0%,4.7%
,Davon Reed,DEN,26,6-5,206,Miami,USA,2017,2,32,37,4.4,2.4,1.0,4.6,2.1%,14.5%,11.8%,62.9%,11.0%
,Day'Ron Sharpe,BKN,20,6-9,265,North Carolina,USA,2021,1,29,32,6.2,5.0,0.5,6.9,19.7%,19.8%,20.5%,59.3%,6.2%
,De'Aaron Fox,SAC,24,6-3,185,Kentucky,USA,2017,1,5,57,23.0,3.9,5.6,-4.8,1.2%,9.6%,28.1%,55.0%,25.3%
,De'Andre Hunter,ATL,24,6-8,221,Virginia,USA,2019,1,4,39,13.2,3.2,1.3,-1.8,1.8%,8.8%,19.0%,55.6%,5.9%
,De'Anthony Melton,MEM,23,6-2,200,Southern California,USA,2018,2,46,60,9.7,4.4,2.7,6.6,3.6%,14.7%,20.0%,49.2%,15.7%
,DeAndre Jordan,PHI,33,6-11,265,Texas A&M,USA,2008,2,35,35,4.1,5.4,0.4,-12.1,11.8%,25.3%,12.5%,65.9%,5.1%
,DeAndre' Bembry,MIL,27,6-5,210,St. Joseph's (PA),USA,2016,1,21,56,5.1,2.9,1.2,-0.6,4.2%,10.6%,11.1%,60.1%,8.7%
,DeJon Jarreau,IND,24,6-5,185,Houston,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,100.0,0.0%,0.0%,0.0%,0.0%,0.0%
,DeMar DeRozan,CHI,32,6-6,220,Southern California,USA,2009,1,9,63,28.1,5.4,5.1,3.8,2.4%,12.3%,30.9%,59.0%,23.5%
,DeMarcus Cousins,DEN,31,6-10,270,Kentucky,USA,2010,1,5,34,8.9,6.0,1.4,6.2,9.6%,29.2%,25.9%,54.9%,13.1%
,Dean Wade,CLE,25,6-9,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,51,5.3,2.9,1.0,2.0,3.1%,12.0%,10.7%,58.4%,7.7%
,Deandre Ayton,PHX,23,6-11,250,Arizona,Bahamas,2018,1,1,47,16.9,10.0,1.4,8.7,9.0%,23.7%,21.2%,66.5%,7.2%
,Deividas Sirvydis,DET,21,6-8,190,None,Lithuania,2019,2,37,3,1.0,2.0,0.3,-42.3,0.0%,20.0%,14.9%,15.0%,6.3%
,Dejounte Murray,SAS,25,6-4,180,Washington,USA,2016,1,29,59,20.7,8.4,9.3,1.9,3.3%,19.9%,26.6%,52.6%,39.0%
,Delon Wright,ATL,29,6-5,185,Utah,USA,2015,1,20,62,4.2,2.8,2.3,0.4,3.7%,12.3%,10.7%,55.8%,18.4%
