,,,,,,,,
,PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
,"
Eric
Gordon",HOU,10,G,6-3,215 lbs,Indiana,USA
,"
Devonte'
Graham",NOP,4,G,6-1,195 lbs,Kansas,USA
,"
Jerami
Grant",DET,9,F,6-8,210 lbs,Syracuse,USA
,"
Hassani
Gravett",,,G,6-2,187 lbs,South Carolina,USA
,"
Danny
Green",PHI,14,G,6-6,215 lbs,North Carolina,USA
,"
Draymond
Green",GSW,23,F,6-6,230 lbs,Michigan State,USA
,"
JaMychal
Green",DEN,0,F-C,6-8,227 lbs,Alabama,USA
,"
Jalen
Green",HOU,0,G,6-4,186 lbs,NBA G League Ignite,USA
,"
Javonte
Green",CHI,24,G-F,6-5,205 lbs,Radford,USA
,"
Jeff
Green",DEN,32,F,6-8,235 lbs,Georgetown,USA
,"
Josh
Green",DAL,8,G,6-5,200 lbs,Arizona,Australia
,"
Blake
Griffin",BKN,2,F,6-9,250 lbs,Oklahoma,USA
,"
Quentin
Grimes",NYK,6,G,6-4,210 lbs,Houston,USA
,"
Kyle
Guy",MIA,5,G,6-1,167 lbs,Virginia,USA
,"
Rui
Hachimura",WAS,8,F,6-8,230 lbs,Gonzaga,Japan
,"
Tyrese
Haliburton",IND,0,G,6-5,185 lbs,Iowa State,USA
,"
Tyler
Hall",,,G,6-5,209 lbs,Montana State,USA
,"
R.J.
Hampton",ORL,13,G,6-4,175 lbs,New Zealand Breakers,USA
,"
Tim
Hardaway Jr.",DAL,11,G-F,6-5,205 lbs,Michigan,USA
,"
James
Harden",PHI,1,G,6-5,220 lbs,Arizona State,USA
,"
Maurice
Harkless",SAC,8,F-G,6-7,220 lbs,St. John's,USA
,"
Jared
Harper",,,G,5-10,175 lbs,Auburn,USA
,"
Montrezl
Harrell",CHA,6,F-C,6-7,240 lbs,Louisville,USA
,"
Gary
Harris",ORL,14,G,6-4,210 lbs,Michigan State,USA
,"
Joe
Harris",BKN,12,G-F,6-6,220 lbs,Virginia,USA
,"
Tobias
Harris",PHI,12,F,6-7,226 lbs,Tennessee,USA
,"
Shaquille
Harrison",,,G,6-4,195 lbs,Tulsa,USA
,"
Josh
Hart",POR,11,G,6-5,215 lbs,Villanova,USA
,"
Isaiah
Hartenstein",LAC,55,C-F,7-0,250 lbs,Zalgiris,Germany
,"
Udonis
Haslem",MIA,40,F,6-8,235 lbs,Florida,USA
,"
Sam
Hauser",BOS,30,F,6-7,217 lbs,Virginia,USA
,"
Jaxson
Hayes",NOP,10,C-F,6-11,220 lbs,Texas-Austin,USA
,"
Killian
Hayes",DET,7,G,6-5,195 lbs,Ratiopharm Ulm,France
,"
Gordon
Hayward",CHA,20,F,6-7,225 lbs,Butler,USA
,"
Aaron
Henry",,,F,6-5,210 lbs,Michigan State,USA
,"
Juancho
Hernangomez",UTA,41,F,6-9,214 lbs,Estudiantes,Spain
,"
Willy
Hernangomez",NOP,9,C-F,6-11,250 lbs,Cajasol Sevilla,Spain
,"
Tyler
Herro",MIA,14,G,6-5,195 lbs,Kentucky,USA
,"
Buddy
Hield",IND,24,G,6-4,220 lbs,Oklahoma,Bahamas
,"
Haywood
Highsmith",MIA,24,F,6-4,220 lbs,Wheeling Jesuit,USA
,"
George
Hill",MIL,3,G,6-4,188 lbs,Indiana-Purdue Indianapolis,USA
,"
Malcolm
Hill",CHI,14,F,6-6,220 lbs,Illinois,USA
,"
Solomon
Hill",,,F,6-6,226 lbs,Arizona,USA
,"
Nate
Hinton",,,G-F,6-5,210 lbs,Houston,USA
,"
Jaylen
Hoard",,,F,6-8,216 lbs,Wake Forest,France
,"
Aaron
Holiday",PHX,4,G,6-0,185 lbs,UCLA,USA
,"
Jrue
Holiday",MIL,21,G,6-3,205 lbs,UCLA,USA
,"
Justin
Holiday",SAC,9,F-G,6-6,180 lbs,Washington,USA
,"
Richaun
Holmes",SAC,22,F,6-10,235 lbs,Bowling Green,USA
,"
Rodney
Hood",LAC,22,G-F,6-8,208 lbs,Duke,USA
,"
Scotty
Hopson",,,G-F,6-7,204 lbs,Tennessee,USA
,"
Al
Horford",BOS,42,C-F,6-9,240 lbs,Florida,Dominican Republic
,"
Talen
Horton-Tucker",LAL,5,G,6-4,234 lbs,Iowa State,USA
,"
Danuel
House Jr.",UTA,25,F-G,6-6,220 lbs,Texas A&M,USA
